-30;0.003599398
-29;0.004103653
-28;0.004657805
-27;0.005263344
-26;0.005921231
-25;0.006631809
-24;0.007394722
-23;0.008208835
-22;0.009072165
-21;0.009981831
-20;0.010934005
-19;0.011923894
-18;0.012945737
-17;0.01399282
-16;0.015057522
-15;0.016131382
-14;0.017205188
-13;0.018269098
-12;0.01931277
-11;0.020325528
-10;0.021296534
-9;0.022214974
-8;0.02307026
-7;0.023852229
-6;0.024551343
-5;0.025158882
-4;0.025667125
-3;0.026069513
-2;0.026360789
-1;0.026537115
0;0.026596152
1;0.026537115
2;0.026360789
3;0.026069513
4;0.025667125
5;0.025158882
6;0.024551343
7;0.023852229
8;0.02307026
9;0.022214974
10;0.021296534
11;0.020325528
12;0.01931277
13;0.018269098
14;0.017205188
15;0.016131382
16;0.015057522
17;0.01399282
18;0.012945737
19;0.011923894
20;0.010934005
21;0.009981831
22;0.009072165
23;0.008208835
24;0.007394722
25;0.006631809
26;0.005921231
27;0.005263344
28;0.004657805
29;0.004103653
30;0.003599398